timestamp,device_id,energy_consumed,device_type,location,data_size,latency,error_rate,protocol_type,air_quality,temperature,humidity,traffic_flow,transaction_id,transaction_status,block_hash,node_id,validation_status,model_version,training_time,model_accuracy,communication_cost,system_status
2020-01-01 00:00:00,device_4,4.64,heater,Zone 1,886,49,0.096,HTTP,150,24.8,74,16,txn_1,pending,block_9067,node_1,successful,3,163,0.79,0.04,2
2020-01-01 00:05:00,device_1,4.56,heater,Zone 3,285,8,0.005,HTTP,118,22.2,34,49,txn_2,failed,block_4021,node_2,failed,2,248,0.95,0.07,3
2020-01-01 00:10:00,device_1,2.05,fan,Zone 4,2639,30,0.017,CoAP,97,18.1,40,59,txn_3,failed,block_7287,node_2,successful,3,154,0.86,0.19,3
2020-01-01 00:15:00,device_3,0.69,fan,Zone 4,567,27,0.068,MQTT,129,22.9,80,78,txn_4,pending,block_7042,node_1,failed,2,162,0.77,0.01,1
2020-01-01 00:20:00,device_1,0.75,fan,Zone 2,4349,43,0.086,CoAP,133,16.7,67,25,txn_5,pending,block_9325,node_2,successful,2,186,0.78,0.02,1
2020-01-01 00:25:00,device_4,0.79,smart appliance,Zone 2,1388,37,0.073,MQTT,71,32.0,35,87,txn_6,pending,block_8820,node_2,successful,3,63,0.92,0.11,2
2020-01-01 00:30:00,device_5,0.83,heater,Zone 1,3979,46,0.069,FTP,145,17.8,58,7,txn_7,pending,block_7614,node_2,successful,3,249,0.76,0.09,2
2020-01-01 00:35:00,device_1,1.31,smart appliance,Zone 5,4088,35,0.007,FTP,149,23.4,58,88,txn_8,confirmed,block_9157,node_3,successful,3,207,0.77,0.18,1
2020-01-01 00:40:00,device_2,3.54,air conditioner,Zone 3,1309,32,0.069,FTP,116,34.4,71,59,txn_9,failed,block_9758,node_1,failed,5,286,0.82,0.2,1
2020-01-01 00:45:00,device_4,1.75,fan,Zone 4,2706,33,0.098,CoAP,103,16.4,38,38,txn_10,confirmed,block_9263,node_1,successful,3,208,0.95,0.01,2
2020-01-01 00:50:00,device_1,4.45,heater,Zone 2,797,7,0.034,HTTP,131,30.3,78,14,txn_11,confirmed,block_5217,node_1,failed,5,281,0.89,0.14,2
2020-01-01 00:55:00,device_1,1.77,light bulb,Zone 5,2851,40,0.02,HTTP,135,25.8,75,36,txn_12,failed,block_4050,node_2,successful,3,229,0.76,0.1,1
2020-01-01 01:00:00,device_1,3.66,heater,Zone 1,2608,16,0.025,CoAP,71,20.6,39,32,txn_13,pending,block_1266,node_3,successful,2,57,0.91,0.06,1
2020-01-01 01:05:00,device_5,0.98,heater,Zone 1,2256,49,0.03,FTP,78,29.3,76,55,txn_14,failed,block_8115,node_1,failed,3,83,0.79,0.04,2
2020-01-01 01:10:00,device_1,4.61,light bulb,Zone 2,2825,8,0.02,HTTP,73,25.3,51,1,txn_15,pending,block_4045,node_1,failed,5,216,0.93,0.02,1
2020-01-01 01:15:00,device_4,3.5,fan,Zone 3,2257,32,0.073,MQTT,128,20.5,65,91,txn_16,failed,block_7348,node_1,failed,1,184,0.89,0.14,3
